walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	1.961947412e-01	3.099237482e-01	8.444735810e-01	3.657677695e+00	5.847225744e-01	-1.756161234e+00	2.011804744e+00	1.208791258e+00	1.315278267e-01	6.920586577e-01	2.185349635e+00	-5.390588811e-01	-4.159539855e+04	-1.603064372e+01
1	5.342696496e-02	4.776374329e+00	1.497627576e+00	9.086784686e-02	2.029999973e+00	-4.686598677e-02	1.348897171e+00	3.314713336e-01	-4.704040288e-01	7.213986558e-01	1.599273187e+00	2.364754566e-01	-1.628292665e+04	-1.510618276e+01
2	2.006162222e+00	7.191680234e-01	3.764753903e-01	2.705545211e-02	4.125635036e-01	6.984123042e-01	4.066586683e-01	9.665769707e-01	2.629128846e-01	8.293740711e-01	2.646198386e+00	1.354190905e-02	-2.198648390e+06	-1.148847246e+01
3	6.267841301e-01	4.676713660e-01	2.331204763e+00	4.685602615e-03	4.609832887e-01	3.575216520e-01	3.544204806e-01	7.623495685e-01	1.554524935e-01	1.438857957e-01	5.112079287e-01	-1.215628383e+00	-3.066103776e+05	-8.657269281e+00
4	8.119466166e-02	7.365088825e-01	3.790775439e-01	1.687600374e+00	5.217241704e+00	3.255041391e-01	2.578252242e-01	1.309955915e+00	3.335184066e-01	7.716484478e-01	5.112409994e+00	-7.235455202e-02	-1.443724623e+04	-1.623495542e+01
5	3.692808163e-01	7.745268872e-01	1.576140482e+00	1.360613103e+00	1.261220864e+00	-1.217915414e+00	9.961872574e-01	5.250705545e-01	5.426909760e-01	8.364931079e-01	4.868482534e+00	5.584965505e-01	-1.510115751e+05	-1.501537459e+01
6	3.653876517e+00	1.581686008e-01	5.534099802e+00	2.789769268e-01	5.951881089e-01	6.268753638e-02	1.314069767e+00	1.447943766e+00	1.438774951e+00	9.004674299e-01	2.947954708e-01	1.266732427e+00	-2.480842769e+06	-1.692306817e+01
7	7.505377878e-02	1.538058816e-01	7.532712527e+00	2.120598887e-01	9.200089495e-01	1.022926594e+00	1.144321346e+00	4.938272238e-01	-6.794867301e-01	1.204524173e+00	1.245427173e+00	-6.365896309e-01	-8.942847143e+03	-1.377554650e+01
8	2.186535879e-02	2.542080812e+00	1.185092149e+00	1.139290274e+00	3.039452105e-01	3.947800562e-01	1.403778816e-01	1.064100862e+00	-1.603000459e-02	3.038370333e+00	1.658459061e+00	-1.043060631e-01	-4.027401627e+03	-1.393763917e+01
9	3.852020811e-01	1.387888619e-01	1.305145009e+00	1.932772640e+00	2.482697150e-01	-5.803859930e-01	3.138573618e+00	3.054121083e-01	-1.285562660e+00	1.433354371e+00	6.446066312e-01	8.551522718e-01	-5.971083696e+04	-1.396449600e+01
10	1.355155667e-01	1.227496918e+00	1.502985927e+00	2.812055691e-01	7.883252057e-02	5.874042727e-01	7.064340027e-01	4.858514560e-01	7.575800609e-01	2.674028494e-01	3.966569517e-02	7.534464413e-01	-9.174041412e+04	-1.250150749e+01
11	8.038174243e-01	2.519634097e-01	6.004073726e-01	4.162398946e-01	2.511527920e+00	-3.576534923e-01	1.020548826e+00	7.499016889e-01	-2.284380509e-01	2.231833210e-01	4.249218568e-01	-6.278516646e-01	-3.336442683e+05	-1.003936014e+01
12	1.574898001e-01	2.736608148e+00	2.110902416e-01	2.710427745e+00	1.899890810e+00	-2.443878142e-02	1.726695310e+00	2.067411507e-01	1.875576362e-01	1.461134454e+00	2.220748518e+00	-1.586350780e+00	-1.282407377e+05	-1.790725560e+01
13	1.410410026e+00	1.273429156e+00	5.199634526e-01	9.710907678e-01	2.103806673e-01	2.217096811e+00	1.755571174e-03	3.273760757e-01	3.525604057e-01	1.444510955e+00	2.330502628e+00	4.492132992e-01	-1.948634036e+06	-1.447132552e+01
14	7.010673208e-01	6.876829720e-02	1.561333316e-01	4.788589558e-01	4.676406832e-01	5.292168014e-01	3.897228507e-02	1.034596797e+00	1.707172805e-02	1.556525253e-01	2.463978288e+00	3.119111323e-01	-2.183884248e+05	-8.681859810e+00
15	1.576325490e-01	5.941467298e-01	1.853221219e+00	8.337962494e-01	5.991305164e-01	4.095069284e-01	9.987309004e-01	3.051177791e+00	1.973108476e-01	2.775497500e+00	4.255098077e+00	-1.409307364e+00	-3.689863765e+04	-1.744087790e+01
16	6.466531183e-01	2.843361406e-01	3.339833806e-01	6.744157925e-01	1.314302881e+00	1.290533618e+00	3.567228889e-01	1.351777025e+00	-2.502035767e-02	1.562225643e-01	3.315450447e-01	-2.319079821e-01	-2.362675557e+05	-9.419077135e+00
17	6.402253964e-01	2.472019549e-01	6.030478215e+00	8.037731729e-01	2.903746376e-01	-1.078947169e+00	1.269512263e+00	8.181542910e-01	-7.671616161e-01	1.156750184e+00	6.587428611e-01	2.454401777e-01	-2.007697272e+05	-1.351919022e+01
18	1.480383481e+00	6.973803613e-01	1.807277084e+00	2.470552690e-01	9.324419260e-01	-7.817529128e-01	1.231874250e+00	7.159990560e-01	4.520323478e-01	2.816828063e-01	6.373186162e-01	-3.261511404e-01	-1.243690324e+06	-1.081007579e+01
19	4.546940581e+00	1.535148809e-01	1.759537156e+00	1.915705222e-01	2.676598153e+00	-7.684417153e-01	6.271699898e-01	7.537193602e-01	5.549259354e-01	3.048368738e+00	5.398454276e-01	1.360309540e+00	-7.589203561e+06	-1.782075085e+01
20	1.793075929e+00	6.921794486e-01	2.054613355e+00	4.454565137e-01	2.595351051e-01	1.859052797e-01	1.076774078e+00	1.976186593e-01	-1.177365453e+00	7.254712884e-01	7.828099098e-01	1.337471713e+00	-1.342383746e+06	-1.262131528e+01
21	5.347724345e-01	3.500107692e-02	8.672688913e-01	8.252911702e-01	7.891495841e+00	-1.541821696e-01	4.112738078e-01	4.824344761e+00	3.156363629e-02	2.838097370e+00	8.681307751e-01	-6.717220049e-01	-1.697219670e+05	-1.833990776e+01
22	8.859122049e-01	1.182161084e+00	1.205516186e+01	3.725839421e+00	2.513269038e+00	1.694087547e+00	1.792146283e+00	2.719480607e-01	-4.016966652e+00	3.754999781e+00	2.535140295e+00	2.726166189e+00	-7.153893624e+05	-3.967765332e+01
23	1.097651618e-01	1.483736325e-01	3.134972837e-01	4.031195167e-02	3.566614967e-01	4.642673837e-01	8.914435664e-02	1.442072621e+00	6.346147364e-01	7.345524215e-01	1.598567583e+00	-8.492069104e-01	-1.295549057e+04	-8.570938196e+00
24	1.154795598e+00	1.065329027e+00	9.405666394e-01	9.053747250e-02	4.599952485e-01	1.111403187e+00	6.308584833e-01	3.911990009e+00	-1.099213317e+00	2.085607715e+00	3.110511902e+00	-1.583478369e+00	-9.550145336e+05	-1.771920947e+01
25	4.116719039e-03	5.575366254e-01	8.792644270e-01	4.299997683e-01	9.694174569e-01	-4.903282412e-01	1.071986033e+00	1.610520029e+00	-1.011753770e+00	5.390584119e-01	1.376887171e+00	1.268071045e+00	-3.084687589e+03	-1.155344899e+01
26	5.443863716e-01	6.223458417e-01	6.294963576e+00	4.211497372e-02	5.205731312e-01	-5.461448024e-01	4.848986462e-01	9.389636398e-01	5.379233980e-01	1.498744906e+00	5.083037204e+00	2.154239615e-01	-2.405057104e+05	-1.558322213e+01
27	2.074754536e-01	2.365516691e-01	3.391647599e+00	2.547691079e+00	5.406002432e-01	1.329994333e+00	1.021729924e+00	1.561996031e+00	-1.072878561e-01	3.358525544e+00	2.473486497e+00	-7.416863768e-01	-3.417427445e+04	-1.796808597e+01
28	3.719620363e-01	1.936532036e+00	8.614690031e-01	3.450803140e-01	2.670283682e-01	-5.796112852e-01	1.927505230e+00	1.382334513e+00	2.388182127e-01	9.350192605e-01	4.190990280e-01	1.626941822e+00	-5.218886928e+05	-1.304628881e+01
29	8.172402444e-01	1.526065306e+00	8.707499353e-01	4.017537347e-01	6.052287061e-01	5.150994774e-01	2.473889121e-01	7.480494405e-01	5.645982666e-01	2.365518730e+00	1.027480989e+00	-4.714908255e-01	-8.769994368e+05	-1.174385034e+01
30	1.896138128e+00	2.380890614e-02	6.693116036e+00	1.013439286e-01	2.088022565e-01	2.074633967e+00	3.607963203e-01	3.506947716e-01	-7.592220146e-01	3.050376226e-01	7.409086070e-01	3.510285252e-01	-2.260785588e+04	-1.394603545e+01
31	1.928050858e-01	1.743468672e+00	8.311178719e-01	1.953350864e-01	1.388457378e+00	1.174753767e+00	5.115757567e-01	9.912494545e-01	3.897872081e-01	5.122369067e-01	5.357511794e+00	-1.207944278e+00	-9.774634251e+04	-1.466861967e+01
32	4.453485403e-02	6.112772813e-01	5.375205985e-01	1.976918142e+00	5.329461951e-01	-7.932018112e-01	1.766686056e+00	2.855308146e-01	-1.895964291e+00	1.886739182e+00	1.373173133e+01	6.399116550e-01	-1.931046732e+04	-2.014699747e+01
33	5.019247507e-02	6.216198169e-02	2.609976171e+00	1.339796350e+00	1.225877823e+01	-6.188552847e-01	4.290763430e-01	5.815230507e-01	5.041144230e-01	7.669012242e-01	1.007891266e+01	6.974025878e-02	-3.832632780e+03	-2.075686597e+01
34	4.135077915e+00	3.327999199e-01	2.981204166e+00	1.729900705e+00	2.014191660e+00	-7.901176401e-02	5.526096181e-01	3.034096216e-01	1.404633534e+00	5.615306468e-01	1.992040884e-02	4.713454386e-01	-6.546621103e+05	-2.039318987e+01
35	1.335521732e-01	6.437937807e-01	1.312865360e+00	7.247661891e-01	6.401204831e-01	9.631410234e-01	7.477879886e-01	3.749791019e-01	8.434366505e-01	1.035353218e-01	5.693130272e-01	3.814753296e-01	-6.257505642e+04	-8.822448061e+00
36	1.153831161e+00	1.211790429e+00	8.138801550e-01	3.973939698e-01	2.601535158e-01	5.103259715e-02	5.739993712e-01	7.101650371e-01	4.824989422e-01	3.599704063e-03	5.265030086e+00	6.490393656e-02	-1.211942001e+06	-1.232493562e+01
37	1.863468374e-02	9.504831671e-01	1.280764458e+00	6.850664876e-01	7.245244326e-02	4.546244729e-01	4.228251145e-01	2.261696122e+00	-8.794572721e-01	4.815861721e-01	3.014117111e+00	-2.264232628e-01	-3.647959117e+03	-1.356518371e+01
38	6.717245222e-01	1.227975570e+00	1.244566804e-01	1.306162914e+00	1.874216338e+00	1.118502904e+00	6.294798907e-01	9.220116997e-01	-5.860656804e-01	2.105478432e+00	3.421554992e-01	6.760358582e-01	-5.616522982e+05	-1.337698736e+01
39	1.919067351e-02	8.703469332e-02	1.899394608e+00	3.565533264e-01	1.546782671e+00	-1.855760874e-01	3.891212818e-01	3.755393830e+00	-5.998250058e-01	3.303945944e-02	3.303159026e+00	-3.952141939e-01	-2.261262980e+03	-1.295613409e+01
40	3.072555839e+00	1.395727315e-01	2.228659382e-01	3.601100200e-01	2.993847543e-01	1.270469201e+00	1.410813499e-01	1.675075291e+00	-4.636003799e-01	6.935181390e-01	2.220647543e-01	-7.071656827e-01	-7.133984923e+05	-1.158437932e+01
41	5.019885506e-01	2.641970288e-01	2.410612760e+00	2.092141870e+00	9.139597666e+00	-7.628172366e-01	5.677776228e-01	2.279038832e-01	-5.266249417e-01	1.118183594e+00	1.223378306e+00	-6.235444062e-01	-1.779437417e+05	-1.710985819e+01
42	1.251945505e+00	1.342906440e+00	4.215879657e+00	1.394211914e+00	1.431123628e+00	-6.853534306e-01	1.294605528e+00	4.676217257e-01	9.863255195e-01	6.029985219e-01	1.309114932e+00	-5.126388828e-01	-1.288293076e+06	-1.545516722e+01
