walker	beta0	ell0	sigma_noise	sigma_gp	beta1	ell1	beta2	ell2	beta3	ell3	beta4	ell4	beta5	ell5	beta6	ell6	beta7	ell7	beta8	ell8	beta9	ell9	beta10	ell10	beta11	ell11	beta12	ell12	beta13	ell13	beta14	ell14	beta15	ell15	beta16	ell16	beta17	ell17	beta18	ell18	beta19	ell19	beta20	ell20	beta21	ell21	beta22	ell22	beta23	ell23	beta24	ell24	beta25	ell25	beta26	ell26	beta27	ell27	beta28	ell28	beta29	ell29	log_l	log_p
0	1.521127640e-01	2.288626186e+00	3.425055739e+00	1.069929016e+00	-9.119411593e-01	2.985460851e+00	1.660229155e+00	9.587053668e-01	1.643046599e+00	1.277805458e+00	-7.386392081e-01	4.975703272e-01	-1.215012099e+00	1.853735562e+00	-1.076950654e-01	3.611600357e+00	-1.157262912e+00	1.214335340e+00	1.023964218e+00	5.472455795e-01	-1.678451149e+00	1.104862923e+00	-2.148569189e-01	8.773681609e-01	-2.930711322e+00	1.470558683e+00	-1.031360786e+00	8.894593907e-01	1.518588664e+00	2.779234869e+00	3.635921205e-01	2.933767220e-01	2.721674046e-01	1.597719848e+00	9.957122278e-01	2.892666689e-01	-4.439904243e-01	9.566752748e+00	-1.372519923e+00	2.376403526e+00	-1.367125602e+00	2.443044194e-01	2.961651369e+00	1.693361857e+00	1.900002983e+00	8.027331749e-01	-2.152575109e+00	9.919432596e+00	7.378146803e-01	7.171105589e-01	-2.132047465e+00	8.268093597e-01	3.704166849e+00	7.109101863e-01	9.941847418e-01	4.535358403e-01	2.679355946e-01	2.511027189e-01	7.962820043e-01	1.282434417e+00	-1.233880137e+00	8.547334279e-02	-1.157587387e+03	-1.056417128e+02

1	-7.233026653e-01	8.958551374e-01	8.386695136e-01	1.005686143e+00	1.549558047e+00	1.176666875e+00	-1.593338999e+00	1.084432372e+00	-2.357388333e+00	7.969861299e-01	-1.088234985e+00	9.346020951e-01	1.260284529e+00	2.273802939e+00	2.006431273e+00	6.074729728e-01	-2.158883253e+00	1.523192049e+00	1.975133359e+00	3.858739403e+00	-2.325917619e+00	5.351292041e-01	-1.293143302e+00	5.380218326e-01	-1.578165987e+00	4.642732907e-01	-9.212839602e-01	1.195964978e+00	1.298685565e+00	1.013179491e+00	-9.048213064e-01	1.450038158e+00	1.084984516e+00	1.633753762e+00	-2.742068826e+00	1.737089804e+00	-1.328184273e+00	2.627705183e-01	-1.250689112e+00	6.661574913e-01	-2.302124107e+00	1.676842961e+00	-1.359005076e+00	5.505045854e-01	5.870630275e-01	3.072566270e-01	-2.221497124e+00	2.076743975e+00	-3.880111950e-01	3.249538962e+00	-1.200965767e+00	1.036084965e+00	-1.604941819e+00	4.902524669e-01	1.552122937e+00	3.416514597e+00	2.555633312e+00	7.731702768e-01	-8.917173737e-02	2.490981882e+00	-1.944679920e+00	2.025552074e+00	-4.696466658e+03	-9.724843140e+01

2	-3.645763190e+00	2.314087962e-01	2.170905151e+00	1.090876105e+01	7.533311421e-01	1.303767862e+00	1.158881574e+00	1.124000165e+00	-4.516798540e-01	5.291108984e+00	8.739468392e-01	1.237641868e+00	2.672975213e+00	1.034795236e+00	-8.315675173e-01	1.021193176e+00	-6.984649675e-01	1.638005387e-01	-2.461331720e+00	4.998797987e+00	2.485737977e+00	3.437943577e-01	1.141929653e+00	3.705948033e-02	-3.678419403e-01	2.263999348e+00	-3.670136499e+00	9.944604343e-01	6.238467926e-01	2.395839443e-01	1.652751526e+00	2.517636893e-01	8.915832237e-01	4.478346816e-01	3.967652019e-01	8.380428127e-01	-1.896072641e+00	4.716883670e+00	-2.315278726e-01	2.018893835e+00	7.103227019e-01	9.809236688e-01	6.698519888e-01	1.875246365e+00	5.968586211e-01	7.614740841e-01	-1.248456771e+00	2.860338289e-01	5.862785503e-01	1.701045909e+00	-1.632450865e+00	1.938853060e+00	-5.943085161e-01	1.338225679e+00	3.221828119e-01	1.488347130e-01	2.709546298e+00	6.191569558e+00	9.319523371e-01	2.091392600e+00	2.363963998e+00	3.263414014e-01	-9.964271029e+02	-1.110445297e+02

3	2.164667790e-01	1.767715778e-01	1.869146427e-01	6.936019298e-01	-6.625309797e-01	1.208295694e+00	-8.776561811e-01	7.152317342e+00	-2.279205924e+00	9.129106156e-01	-2.643991490e+00	2.943316671e+00	-4.899669696e+00	3.990644123e-01	4.226370908e+00	1.603191746e+00	-2.384971566e+00	1.528419907e+00	-3.065299366e+00	2.153485462e+00	-1.515558443e+00	5.253121859e-01	3.962048780e-01	9.723035131e-01	-2.113590626e+00	9.177503108e-01	3.631829955e+00	7.590466507e-02	-8.510507114e-01	1.478957142e+00	-1.708393827e+00	4.318515245e-01	4.090585050e+00	2.557832368e-01	9.496407042e-01	4.499677317e-01	-1.653479930e+00	3.409678452e+00	1.081347497e+00	5.277418430e-02	-2.420139577e+00	3.141373510e-01	1.377745083e+00	1.612836760e+00	1.989393932e+00	6.078256924e+00	-1.122177485e+00	1.992415224e+00	2.630628744e+00	2.183215024e-01	-2.284270825e+00	9.431973716e-01	2.318411717e+00	5.167616736e-01	4.948053523e-01	6.548752189e-01	1.585318381e+00	4.715001647e+00	1.370367000e+00	1.386837848e+00	1.853261979e-01	6.425835103e-01	-2.040061521e+05	-1.118579583e+02

4	8.633431591e-03	2.401472325e+00	3.587757919e+00	3.431526904e+00	2.247038211e+00	5.945089920e-01	1.811720795e+00	1.282058462e+00	2.486207910e-01	1.048398009e+00	-2.752045276e+00	1.454610046e+00	1.183052296e+00	2.011418293e+00	-3.333542905e-01	1.737500235e+00	-2.301917774e+00	2.516235315e-01	-7.617133551e-01	1.925628114e+00	-8.070982457e-01	9.759005216e-01	-5.619364729e-01	1.598434653e+00	1.040388112e+00	1.245569189e+00	9.459033028e-01	6.544867395e-01	-6.623520993e-01	1.457325107e+00	8.410519397e-01	4.032003960e-01	2.690392437e+00	1.048448693e+00	9.203573204e-01	2.008919337e+00	-3.073673700e+00	2.322729441e+00	-1.346113861e+00	4.119034636e-01	-1.606736000e+00	1.186592495e+00	2.458307585e+00	5.769599633e-01	-3.094383320e+00	7.814131903e-01	-7.750342092e-01	1.761560304e+00	-1.315171486e+00	1.313444444e+00	-8.978703812e-02	4.077593182e-01	-4.583692848e-02	3.152948343e+00	9.209975278e-01	1.574626094e+00	1.672949713e+00	9.717939818e-01	-9.141253471e-01	5.398005339e-01	-3.038621294e-01	2.333915594e+00	-1.030667852e+03	-9.992063932e+01

