walker	beta0	tau_sq_0	ell0	beta1	tau_sq_1	ell1	beta2	tau_sq_2	ell2	beta3	tau_sq_3	ell3	beta4	tau_sq_4	ell4	beta5	tau_sq_5	ell5	beta6	tau_sq_6	ell6	beta7	tau_sq_7	ell7	beta8	tau_sq_8	ell8	beta9	tau_sq_9	ell9	beta10	tau_sq_10	ell10	beta11	tau_sq_11	ell11	beta12	tau_sq_12	ell12	beta13	tau_sq_13	ell13	beta14	tau_sq_14	ell14	beta15	tau_sq_15	ell15	beta16	tau_sq_16	ell16	beta17	tau_sq_17	ell17	beta18	tau_sq_18	ell18	beta19	tau_sq_19	ell19	beta20	tau_sq_20	ell20	beta21	tau_sq_21	ell21	beta22	tau_sq_22	ell22	beta23	tau_sq_23	ell23	beta24	tau_sq_24	ell24	beta25	tau_sq_25	ell25	beta26	tau_sq_26	ell26	beta27	tau_sq_27	ell27	beta28	tau_sq_28	ell28	beta29	tau_sq_29	ell29	sigma_noise	sigma_gp	lambda	log_l	log_p
0	-1.686254248e+02	1.958712561e-03	2.685564690e+00	1.825811766e+02	4.048505239e-02	1.919900628e-02	7.314165846e+02	3.143568763e-01	2.342834615e-01	8.568328200e+01	5.947864449e-02	1.529082269e+00	-9.291655419e+02	1.385855696e-02	8.145001512e-03	2.535268840e+02	4.306187253e-04	2.837060316e+00	5.276993945e+02	7.195365720e+00	3.966471370e-01	-8.505071153e+02	5.155296008e+01	4.465150145e-02	-1.521763403e+02	1.277796485e+01	3.354834929e-01	-2.012755535e+02	5.103509838e-03	4.905833182e-01	-1.705828322e+01	6.614283279e-03	1.521978263e-01	2.360780186e+02	9.047547114e-01	7.879096615e-03	6.342798235e+02	1.589223296e+01	1.758177862e+01	-5.620201300e+01	4.515039663e-01	1.240021099e+01	3.289817568e+02	3.762238105e+00	4.091285862e-02	-4.102125962e+02	8.104172867e-03	1.017433566e-01	-4.314325042e+02	9.029763755e-03	2.728951633e+00	-1.124706060e+02	1.331550858e+01	1.747137952e-02	8.812049710e+02	1.431594708e-03	2.565777289e+00	1.127415588e+02	1.070419950e+00	1.615199812e-01	6.052511915e+02	2.400707844e-05	3.858519984e-02	-7.860248788e+02	3.187511259e+00	1.752882040e+01	4.846481789e+02	2.203654809e-01	6.300153698e+00	3.032196171e+02	5.118803002e-01	8.765078658e+00	5.770230570e+02	1.980465520e+01	2.576999934e+00	6.888199164e+02	1.225996409e-02	8.525426935e+00	-1.007646419e+02	1.458822877e-01	1.519928296e-01	-6.782798721e+01	1.471658712e-03	1.042247742e+01	-6.204729710e+02	3.782030306e-02	4.608031847e-02	-6.176441998e+02	1.339597647e-02	1.235727246e-02	2.491149406e+01	1.990564929e-02	4.008637742e-01	-1.329525262e+07	-3.039099526e+02

1	-2.245658090e+02	5.724487017e-02	1.361701849e+01	-2.491165625e+01	7.191110191e-04	3.851909082e+01	-2.888693711e+02	1.858143198e-03	2.822086248e+00	2.641925193e+02	6.104041906e+00	1.849389909e+00	-1.655041895e+02	2.499630667e+00	2.513096809e+00	3.546004482e+02	1.622342470e+00	5.925932824e+01	-5.878933209e+02	3.512733959e-02	2.569128445e+00	5.831797130e+02	2.129971962e+00	7.017641284e-03	-5.954558378e+01	6.880614526e+00	4.040189481e+00	-2.579406928e+02	1.759850878e-01	3.779507257e+00	2.287957178e+02	3.993607941e-06	2.243977686e+00	5.764202961e+02	8.451721689e-04	2.418420956e+01	-6.201586425e+02	2.973200111e+00	4.832969104e-03	-3.190794071e+02	5.259056312e+00	2.592085686e-01	7.438691426e+02	5.621901638e-02	3.861983818e-02	5.333598251e-01	9.002502427e+00	5.134457571e-01	2.795973353e+02	2.064694060e-01	5.315996807e-03	6.021153759e+02	8.684561664e+00	6.108366051e-02	1.867831593e+02	1.404782425e-01	5.857742312e+01	-2.929255411e+02	3.050693289e-02	4.128411339e+00	-2.729471303e+01	1.817505701e+00	9.590560332e-02	8.800380055e+01	4.389456989e+01	1.023465831e+01	5.558309406e+02	2.291421157e-01	1.461600310e+00	-4.696741678e+02	2.260159745e-04	3.071015076e-01	5.015094246e+01	1.746494577e+01	1.061611938e-02	1.688731051e+02	2.704843923e-02	1.174036158e-02	1.534357795e+02	3.040232262e+01	4.954684375e-02	7.052684649e+02	2.371979515e+01	2.380607650e+00	-3.157257055e+02	6.091548651e-04	8.793377114e+00	-7.563667720e+01	2.289216284e-03	1.191450494e-01	1.589087886e+00	3.186430921e-03	3.464667773e+00	-2.997804246e+09	-3.322876058e+02

2	-2.003582347e+02	2.198413034e-02	3.415173280e-01	1.467560125e+02	4.459911433e+00	3.649189139e-02	6.230533429e+01	3.030941948e-04	6.694936151e-01	1.511180398e+02	1.386911277e-04	3.118963462e-03	-8.642188427e+01	1.265024915e-02	8.199906066e-02	-8.341063776e+01	3.636948113e-01	1.725423280e+01	2.668822845e+00	1.966981915e+00	5.857810303e-01	3.970726059e+01	3.588331028e+01	1.543998761e-01	2.570291990e+01	8.219438110e-02	2.452940037e-01	-1.726312377e+02	1.481078862e-01	3.148030066e-02	-1.948281811e+02	1.024813464e-04	4.000349008e-02	-7.707555605e+02	7.878788121e+00	5.996924880e-01	-1.504255764e+02	3.437968036e+01	5.176543406e-02	-5.934417088e+01	7.543847855e+00	3.782632083e-01	-6.640344227e+02	2.234563160e+01	2.346581814e-03	3.433705905e+02	2.301574914e+00	1.097553153e+01	1.744008130e+02	1.303862532e+01	4.997686378e-02	-3.351048650e+02	2.940047576e-03	2.669448542e+01	1.274920463e+02	7.045536069e-03	1.094579317e+00	-4.190936161e+02	1.815913884e-03	3.691360681e+00	-3.948403291e+02	3.109490049e-01	4.840448014e+01	-1.463756727e+02	2.793883240e-01	1.888268969e+00	-1.018295581e+01	4.322021448e-02	1.653148165e+01	-8.852216429e+02	1.083152348e-02	1.838121906e-01	-2.926678457e+01	1.467758271e-02	2.352364061e+01	-2.202435844e+02	3.201411798e-05	2.180429406e+01	2.450739368e+02	3.741432400e+01	1.684276669e-02	-5.490278986e+02	8.613363434e+00	4.371052611e-02	4.232646419e+02	3.580747381e-04	2.092842254e+01	-5.287513254e+02	1.880337617e-04	3.258791267e-01	1.220572505e-01	9.357399192e+00	4.583290059e-01	-2.058012773e+11	-3.031835358e+02

3	-9.138303096e+02	4.413695445e-01	1.817940848e+00	-8.810051400e+02	7.978774072e-03	3.824923570e-02	-8.047620770e+02	4.201248497e+00	3.738203075e+00	7.564621264e+02	8.960067986e-04	9.482155682e+01	9.100725110e+02	4.253473096e-02	3.266995271e+01	-2.807657821e+02	1.887270538e-01	6.007596066e+01	8.502484822e+02	6.272246822e-01	1.416025663e+00	4.110438069e+02	1.571830893e+00	5.839617894e-02	8.848472438e+02	1.289278932e+01	4.171473821e-02	5.277931798e+02	1.600749245e-03	2.136321400e+00	8.853884740e+02	6.086769417e+00	2.354719007e+00	-4.375379466e+02	2.669854889e+00	2.058983400e+01	5.732792644e+02	4.497349134e-01	8.414303379e-02	-1.719462499e+02	9.434874829e-03	4.716345092e+01	9.358361311e+02	4.994923174e-03	4.645042055e+00	-8.092276648e+01	1.466664553e-01	1.900960984e+00	-7.762009174e+02	1.313097099e-01	1.942558085e+01	8.229842761e+02	7.099831593e+01	1.565894608e+00	5.566574303e+02	1.147008849e-02	8.365408504e-01	-4.854713433e+02	1.245212355e-02	2.180794374e-02	1.108431437e+02	6.354376271e-03	5.942598038e-01	4.589535387e+02	6.631613388e+01	4.543924494e-03	8.566153002e+02	2.353036044e-05	7.182314565e+00	2.543788203e+02	2.074654233e-02	6.033276302e+00	-5.038406217e+02	2.689492550e-01	3.031136720e+00	-5.711360510e+02	6.662073246e+00	7.834491581e-01	5.101766673e+02	2.582503117e-01	6.077454514e-03	-3.060761813e+02	1.322366261e-04	2.442450644e+01	5.371110763e+02	3.752484833e-03	2.143506398e-02	-3.327297269e+02	1.193079239e-03	6.746006794e+00	3.755778825e-01	1.130588723e-01	7.487368007e-03	-1.256108003e+11	-3.224519137e+02

4	7.581233387e+02	6.096641338e+01	1.555757900e-02	5.948459398e+02	6.528662356e-04	3.660487138e+01	6.010672216e+02	6.274173805e-03	2.753152260e-03	-8.505225105e+02	2.350404238e-06	1.058119488e+00	-8.572655170e+02	1.371261206e-01	5.594998639e-03	-2.355914373e+02	1.062257918e-02	1.689680466e-03	-1.374523861e+02	1.137901302e-03	1.074742267e-03	-4.650291155e+02	7.846105872e-06	1.067517839e+01	-1.422793774e+02	2.742709816e-04	1.218965658e-03	7.137368602e+02	5.225074077e+00	1.152205411e-03	8.623769728e+02	4.838191347e-04	5.018327673e-02	-6.779773479e+02	2.563627142e-02	1.678838291e-02	7.444739101e+02	9.052572151e-02	3.057103529e+01	9.324569754e+02	2.534061253e-06	5.030073975e+00	-2.292766757e+02	3.348203384e-06	1.541515962e-02	-7.463816330e+02	1.249343036e-01	4.722933165e-02	6.271227414e+02	3.200400185e-03	4.986632142e-03	-5.223481212e+02	1.061333528e-02	3.506236961e+01	7.125777197e+02	2.974930384e-02	1.620481717e-02	-8.932889650e+02	3.385800848e-01	4.654709663e+00	5.450358418e+02	5.596594790e-03	6.920163181e-01	9.854572196e+02	5.156337059e-06	3.321179971e-03	-1.843041936e+02	3.099503283e+00	1.777415076e+01	-8.875196027e+00	2.095775189e-04	2.070689135e+01	4.924434537e+02	4.063667501e-04	1.898789708e-01	-6.883361798e+02	2.168785308e-05	7.243599950e+01	-1.078349687e+01	4.997567698e+00	9.692443848e-03	-8.129730373e+02	1.100123411e-06	5.254456469e-03	1.450110901e+02	3.199923333e-02	4.815216661e+00	-6.028995994e+02	1.200087606e-04	6.400097465e-01	1.467461643e-02	2.127796942e-06	2.966191106e-01	-3.509818516e+15	-1.456099082e+02

