walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	8.062171391e-01	1.147743260e+00	2.746915088e+00	7.813735054e-01	1.427726361e+00	9.428037740e-01	1.031500585e+00	1.539117280e+00	1.053971670e+00	7.624589718e-02	1.047537403e+00	-1.934073858e+00	-5.432958731e+05	-1.533790518e+01

1	1.641510505e-01	2.892061257e-02	3.580860386e+00	4.000869235e-01	1.054422131e+00	7.969430208e-01	1.167630669e+00	4.258345829e+00	-2.556114536e-02	1.212132051e+00	3.052130652e+00	-1.241573278e+00	-1.697913528e+04	-1.645481789e+01

2	6.346050246e-01	9.210899332e-02	1.449107017e+00	3.759354516e-01	2.708805743e+00	-7.934056848e-02	1.778061275e-01	3.134629144e+00	-1.869102616e-01	1.990809989e-02	5.396776693e-01	-2.973506141e-01	-2.248803539e+05	-1.113116297e+01

3	2.659484945e-02	1.509525902e-01	6.260260163e-01	4.118604576e-01	8.546108840e-01	-5.312643171e-01	3.866456717e-01	9.091928863e-01	-3.801076699e-01	1.385438519e+00	2.172361350e+00	-2.104533590e+00	-6.564927065e+03	-1.207265423e+01

4	1.768472226e-01	1.073838322e-01	7.746668036e-01	4.404612207e-01	1.958672372e+00	6.113623099e-01	2.140591528e+00	1.609782128e+00	2.418044129e-01	5.173130957e+00	1.438672365e+00	-2.806960790e-01	-2.115416557e+04	-1.673691643e+01

5	3.635084464e-01	3.640606731e-02	5.135082405e+00	1.396908910e+00	7.311231457e-01	1.150477679e+00	1.439372533e+00	9.163026169e-01	1.703720532e+00	2.229330218e+00	8.731420720e-01	-1.839918213e-01	-5.418318125e+04	-1.609652761e+01

6	1.645160401e-01	1.080386857e-01	7.866498422e-01	2.415574542e-01	2.262166040e-01	6.294713565e-01	3.248707052e+00	1.629806261e+00	1.325108872e+00	2.043047445e+00	1.454539985e+00	5.671254963e-02	-1.900735448e+04	-1.408660105e+01

7	4.430133928e-01	6.831496737e-01	6.897594035e-01	1.888226560e-01	9.883546097e-01	4.156242439e-01	8.802363726e-01	1.890133758e+00	-4.234862525e-01	9.604517219e-05	4.505765580e-01	-5.542748647e-01	-2.079975668e+05	-9.350941304e+00

8	8.054313137e-01	4.933975706e-01	1.908134346e+00	2.535292030e-01	9.228811230e-01	-2.841350630e+00	1.159319432e+00	3.018368513e+00	1.074307783e+00	2.076911937e+00	4.250625950e-01	2.084030173e+00	-4.297260618e+05	-1.988443446e+01

9	8.015569082e-01	2.052788183e-01	1.699359970e-01	7.362035876e-02	1.419584584e+00	3.281157989e-01	1.545326742e+00	1.504838850e+00	4.865682068e-02	1.777181437e-01	1.870864200e+00	-2.646974056e+00	-3.742431464e+05	-1.427399370e+01

10	1.079708985e+00	1.806956481e-01	3.078344381e-01	2.365439511e+00	4.287687797e+00	5.836895915e-01	2.595654423e-01	9.260402375e-01	-3.956048994e-01	1.251149653e-01	4.884190061e-01	-1.572055225e+00	-5.808304164e+05	-1.373961259e+01

11	3.586284568e+00	2.695739299e-01	8.714932194e-01	2.831762901e-01	1.475082451e+00	1.573851049e-01	1.451006956e+00	1.026734941e-01	-8.250367930e-01	9.131400218e-01	1.213026567e+00	9.324134681e-01	-1.991271177e+06	-1.486082850e+01

12	8.397620369e-02	4.638664890e-01	9.204478497e-01	7.195464383e-01	6.828604709e-01	6.269981969e-01	1.101638883e-01	2.123466328e-01	-4.859622498e-01	9.361680856e-02	7.610624967e-01	1.978797763e-01	-2.879897078e+04	-7.519264170e+00

13	8.794595931e-02	6.158082280e-01	1.442503182e+00	8.313506962e-01	1.529227010e-01	7.495406344e-01	1.280114065e+00	5.868322862e-01	-7.188822498e-02	1.343931971e+00	2.638981895e+00	-6.816934091e-01	-3.373207475e+04	-1.251118098e+01

14	1.473300340e+00	5.519920692e-01	5.448630124e+00	2.106734592e+00	6.950075562e-01	-3.589065113e-01	6.652127287e-01	5.802089435e+00	-1.062605080e+00	7.960690422e-01	1.461038216e+00	5.830051235e-01	-1.310556412e+06	-1.900076237e+01

15	6.947318404e-02	9.145804892e-01	1.065577782e+00	4.146323379e-01	6.610943128e+00	-1.247925766e+00	1.233373406e+00	4.377327915e-01	1.626725450e+00	6.937764967e-01	8.894899228e-01	-6.792122919e-01	-2.204676690e+04	-1.542439388e+01

16	7.668406030e-01	1.992130813e+00	1.388659652e-01	1.073416838e+00	3.778023478e-01	-7.442550003e-01	1.916404895e+00	2.545639363e-01	6.224806185e-01	6.839072038e-02	1.019751395e+00	3.137162556e-01	-1.611303113e+06	-1.159324194e+01

17	1.544693662e-01	1.569836795e+00	4.507705224e-01	6.376679717e-01	5.062384670e-01	6.751962538e-01	2.925349590e-01	5.420622163e-01	-2.187551552e+00	2.269674998e+00	2.291124444e-01	-5.383098345e-01	-1.210206355e+05	-1.277140420e+01

18	1.041307512e+00	4.035954577e-01	1.618607866e+00	4.534452756e-01	3.237309204e+00	-9.986620457e-01	1.858201236e-02	2.771315880e-01	6.017541533e-02	8.971468990e-01	2.637162119e+00	1.691695556e+00	-6.406703484e+05	-1.458977947e+01

19	5.130020319e-01	1.735540819e+00	9.246729813e-01	4.630788989e-01	3.283270540e-01	1.120048176e+00	4.096346844e-01	1.457033256e+00	4.304075995e-02	5.756400308e+00	5.184743991e-01	1.294485812e-01	-6.834903118e+05	-1.563652082e+01

20	1.643728288e+00	1.139850656e-01	2.329481365e+00	7.972363065e-01	2.691264987e-01	1.904940210e+00	5.564034444e-01	9.162490946e-01	9.271383466e-01	3.590087872e+00	5.388367026e-01	-1.208613251e+00	-3.908510593e+05	-1.611298783e+01

21	1.187659396e+00	1.386198890e+00	7.814576072e-01	1.052039117e+00	3.561647394e+00	4.836194427e-01	1.159568694e+00	2.739955329e+00	1.140192972e+00	1.057048359e+00	5.183993878e-01	2.023505309e-01	-1.104169653e+06	-1.631090964e+01

22	9.346250037e-01	2.114735405e+00	1.292538961e+00	9.482711365e-01	1.765677226e+00	-1.379493700e+00	5.799246668e-02	1.533582322e-01	-1.243534525e+00	2.950211326e-01	1.900058052e-01	2.441594727e-01	-2.728313310e+06	-1.325273910e+01

23	8.493079760e-01	6.075044153e-01	1.600155857e-02	7.322680419e-01	3.186295621e-01	-2.568588647e+00	1.590750566e+00	3.837369718e+00	-1.458727243e+00	1.075867375e+00	1.991322114e-01	2.074960361e-01	-7.670318322e+05	-1.678693511e+01

24	7.584309314e-01	7.806203836e-01	6.451400379e+00	8.941806607e-01	4.537985252e-01	1.283424930e+00	2.950821923e-01	8.851047845e-01	-2.475671964e-01	1.263104927e+00	3.769349023e-01	-2.065583697e-01	-6.128199499e+05	-1.348933663e+01
0	8.062171391e-01	1.147743260e+00	2.746915088e+00	7.813735054e-01	1.427726361e+00	9.428037740e-01	1.031500585e+00	1.539117280e+00	1.053971670e+00	7.624589718e-02	1.047537403e+00	-1.934073858e+00	-5.432958731e+05	-1.533790518e+01

1	1.641510505e-01	2.892061257e-02	3.580860386e+00	4.000869235e-01	1.054422131e+00	7.969430208e-01	1.167630669e+00	4.258345829e+00	-2.556114536e-02	1.212132051e+00	3.052130652e+00	-1.241573278e+00	-1.697913528e+04	-1.645481789e+01

2	5.122891212e-01	2.092875953e-01	1.447629397e+00	4.778353937e-01	2.136922528e+00	1.061230223e-01	4.244494192e-01	2.564555227e+00	-1.611738836e-01	3.161607119e-01	1.009400590e+00	-3.833479737e-01	-1.636328567e+05	-1.137798984e+01

3	2.659484945e-02	1.509525902e-01	6.260260163e-01	4.118604576e-01	8.546108840e-01	-5.312643171e-01	3.866456717e-01	9.091928863e-01	-3.801076699e-01	1.385438519e+00	2.172361350e+00	-2.104533590e+00	-6.564927065e+03	-1.207265423e+01

4	1.768472226e-01	1.073838322e-01	7.746668036e-01	4.404612207e-01	1.958672372e+00	6.113623099e-01	2.140591528e+00	1.609782128e+00	2.418044129e-01	5.173130957e+00	1.438672365e+00	-2.806960790e-01	-2.115416557e+04	-1.673691643e+01

